Size,Bandwidth,Delay
1.000000,0.197264,0.038676
2.000000,0.500583,
4.000000,1.051151,
8.000000,2.232916,
16.000000,4.398013,
32.000000,8.670061,
64.000000,18.557451,
128.000000,35.018750,
256.000000,65.565523,
512.000000,124.455086,
1024.000000,251.462911,
2048.000000,379.565745,
4096.000000,734.425595,
8192.000000,1368.034450,
16384.000000,2207.730639,
32768.000000,3897.482248,
65536.000000,5418.663322,
131072.000000,5363.357092,
262144.000000,6866.497844,
524288.000000,9469.545107,
1048576.000000,10204.506577,
2097152.000000,11718.522487,
4194304.000000,11619.435475,
8388608.000000,10482.629751,
16777216.000000,10457.457347,
33554432.000000,8297.295139,
