Size,Bandwidth,Delay
1.000000,10.812174,0.000706
2.000000,23.262193,
4.000000,46.943548,
8.000000,93.673263,
16.000000,200.270558,
32.000000,479.476150,
64.000000,955.480773,
128.000000,1829.875561,
256.000000,3209.689586,
512.000000,6609.448234,
1024.000000,9521.122573,
2048.000000,15178.494233,
4096.000000,20951.836923,
8192.000000,26127.233354,
16384.000000,31340.770706,
32768.000000,40388.204964,
65536.000000,62303.945060,
131072.000000,90786.364251,
262144.000000,102669.214780,
524288.000000,89579.717719,
1048576.000000,77258.517807,
2097152.000000,69690.034364,
4194304.000000,68644.822243,
8388608.000000,67128.227563,
16777216.000000,53105.028730,
33554432.000000,43421.399271,
