Size: 1.000000, Przepustowość: 11.663369 Mbit/s, time is 0.000654
Opóźnienie: 0.000654 ms
Size: 2.000000, Przepustowość: 28.850755 Mbit/s, time is 0.000529
Size: 4.000000, Przepustowość: 59.508292 Mbit/s, time is 0.000513
Size: 8.000000, Przepustowość: 119.452861 Mbit/s, time is 0.000511
Size: 16.000000, Przepustowość: 236.569915 Mbit/s, time is 0.000516
Size: 32.000000, Przepustowość: 454.183852 Mbit/s, time is 0.000538
Size: 64.000000, Przepustowość: 901.020907 Mbit/s, time is 0.000542
Size: 128.000000, Przepustowość: 1723.435815 Mbit/s, time is 0.000567
Size: 256.000000, Przepustowość: 3214.888276 Mbit/s, time is 0.000608
Size: 512.000000, Przepustowość: 5871.014287 Mbit/s, time is 0.000665
Size: 1024.000000, Przepustowość: 9510.841445 Mbit/s, time is 0.000821
Size: 2048.000000, Przepustowość: 15068.882878 Mbit/s, time is 0.001037
Size: 4096.000000, Przepustowość: 21300.089291 Mbit/s, time is 0.001467
Size: 8192.000000, Przepustowość: 1409.817854 Mbit/s, time is 0.044332
Size: 16384.000000, Przepustowość: 31021.303197 Mbit/s, time is 0.004029
Size: 32768.000000, Przepustowość: 7448.963575 Mbit/s, time is 0.033562
Size: 65536.000000, Przepustowość: 8985.098932 Mbit/s, time is 0.055648
Size: 131072.000000, Przepustowość: 2164.896583 Mbit/s, time is 0.461916
Size: 262144.000000, Przepustowość: 3710.924834 Mbit/s, time is 0.538949
Size: 524288.000000, Przepustowość: 3225.103148 Mbit/s, time is 1.240270
Size: 1048576.000000, Przepustowość: 2842.658391 Mbit/s, time is 2.814267
Size: 2097152.000000, Przepustowość: 3289.738956 Mbit/s, time is 4.863608
Size: 4194304.000000, Przepustowość: 1935.671113 Mbit/s, time is 16.531734
Size: 8388608.000000, Przepustowość: 1680.444642 Mbit/s, time is 38.085158
Size: 16777216.000000, Przepustowość: 1313.978993 Mbit/s, time is 97.414038
Size: 33554432.000000, Przepustowość: 1632.014124 Mbit/s, time is 156.861388
