scaling,threads,avg_bucket_size,fill_time,partition_time,sort_time,merge_time,total_time
weak,1,1000,0.063422,0.249709,19.230617,0.031846,19.581542
weak,2,1000,0.063515,0.412402,18.984822,0.033197,19.501904
weak,3,1000,0.163374,0.505767,18.988941,0.031375,19.703556
weak,4,1000,0.213030,0.632053,18.862565,0.032186,19.759676
weak,5,1000,0.082449,0.733022,19.055564,0.032822,19.927546
weak,6,1000,0.110826,0.825985,19.239080,0.033769,20.225332
weak,7,1000,0.176536,0.928461,19.140503,0.035914,20.300268
weak,8,1000,0.155772,1.005216,19.227881,0.032623,20.458940
weak,9,1000,0.114839,1.074036,19.137514,0.063076,20.441330
weak,10,1000,0.541583,2.187644,19.243876,0.064691,22.095364
weak,1,100,0.062666,0.424074,2.708908,0.043110,3.256079
weak,2,100,0.134516,0.881415,2.748355,0.049762,3.843593
weak,3,100,0.063493,0.792920,2.751445,0.045861,3.678799
weak,4,100,0.125546,0.944894,2.797510,0.047686,3.945394
weak,5,100,0.108586,1.037497,2.966962,0.046911,4.195307
weak,6,100,0.196278,1.129507,2.731304,0.047219,4.139474
weak,7,100,0.102216,1.268146,3.580303,0.046061,5.031423
weak,8,100,0.168325,1.869299,2.935739,0.050685,5.061841
weak,9,100,0.187757,1.512263,2.780899,0.048437,4.585162
weak,10,100,0.161318,1.793431,4.177695,0.068754,6.256916
strong,1,1000,0.062514,0.238622,18.943517,0.030928,19.281451
strong,2,1000,0.063060,0.185790,9.511055,0.016105,9.780901
strong,3,1000,0.036894,0.158695,6.412638,0.010858,6.625360
strong,4,1000,0.083775,0.252626,4.761031,0.008139,5.129179
strong,5,1000,0.053007,0.170658,3.794628,0.006860,4.037163
strong,6,1000,0.108590,0.132826,3.200450,0.005752,3.463573
strong,7,1000,0.018633,0.121859,2.760807,0.005256,2.911842
strong,8,1000,0.032981,0.270051,2.430612,0.004805,2.758603
strong,9,1000,0.047148,0.243834,3.009370,0.019844,3.367937
strong,10,1000,0.037424,0.138688,1.925920,0.007294,2.120936
strong,1,100,0.062936,0.428643,2.713420,0.043554,3.266129
strong,2,100,0.081466,0.296463,1.357552,0.021058,1.770964
strong,3,100,0.063796,0.214027,0.910852,0.014763,1.209805
strong,4,100,0.034773,0.193087,0.689770,0.011013,0.934704
strong,5,100,0.066309,0.294590,0.547543,0.009043,0.934748
strong,6,100,0.051828,0.252144,0.454681,0.013075,0.774979
strong,7,100,0.010156,0.140684,0.389711,0.014708,0.559428
strong,8,100,0.040456,0.136255,0.341516,0.010567,0.539675
strong,9,100,0.041360,0.250972,0.303741,0.010846,0.617831
strong,10,100,0.052424,0.338475,0.442550,0.020842,0.894504
