scaling,threads,avg_bucket_size,fill_time,partition_time,sort_time,merge_time,total_time
weak,1,200,0.514675,2.973706,351.305775,0.333621,355.156597
weak,2,200,0.512151,4.086565,351.414355,0.334244,356.394253
weak,3,200,0.511963,5.460522,348.411482,0.335655,354.780814
weak,4,200,0.513324,6.788388,344.804058,0.336487,352.513825
weak,5,200,0.515264,7.945246,352.283067,0.337526,361.168301
weak,6,200,0.520401,9.269114,343.430750,0.338747,353.653833
weak,7,200,0.521423,10.228064,357.121443,0.339639,368.335239
weak,8,200,0.528747,11.675756,368.338104,0.342454,381.022742
weak,9,200,0.541457,12.778980,337.918145,0.343008,351.732407
weak,10,200,0.526870,14.336845,487.611505,0.347158,502.986307
weak,1,100,0.514551,3.498532,179.129628,0.342958,183.530218
weak,2,100,0.515282,4.848724,178.233631,0.344977,184.003942
weak,3,100,0.515963,6.414043,176.186078,0.346768,183.538731
weak,4,100,0.516983,8.074626,181.730908,0.348030,190.755508
weak,5,100,0.519090,9.591429,210.430698,0.349741,220.991137
weak,6,100,0.527874,11.624859,172.663538,0.350650,185.299790
weak,7,100,0.520224,13.148191,278.071552,0.352613,292.229076
weak,8,100,0.521817,14.944028,203.321541,0.354381,219.292373
weak,9,100,0.540645,16.503223,173.956293,0.356192,191.535415
weak,10,100,0.532852,18.294679,320.987900,0.359863,340.362093
strong,1,200,0.524802,5.288275,47.316654,0.450648,53.747514
strong,2,200,0.258198,4.754048,24.328349,0.227020,29.645410
strong,3,200,0.172645,2.908775,16.387154,0.150485,19.672131
strong,4,200,0.128809,2.275537,12.825557,0.112355,15.387999
strong,5,200,0.103895,1.950671,10.535148,0.098326,12.720700
strong,6,200,0.087198,1.772759,8.956441,0.075037,10.917509
strong,7,200,0.075100,1.577616,7.996145,0.064004,9.742613
strong,8,200,0.065617,1.521056,7.135053,0.056320,8.797562
strong,9,200,0.058700,1.418492,6.693631,0.050556,8.239635
strong,10,200,0.053705,1.381721,5.904286,0.046351,7.410036
strong,1,100,0.514991,12.143865,28.517261,0.544631,42.070620
strong,2,100,0.257865,6.700176,14.783267,0.268582,22.169882
strong,3,100,0.172746,4.595868,10.490607,0.180613,15.548006
strong,4,100,0.132046,3.405977,8.102159,0.134540,11.854991
strong,5,100,0.104455,2.829633,6.834646,0.108383,9.941028
strong,6,100,0.087239,2.452801,5.922293,0.090442,8.605554
strong,7,100,0.074462,2.142288,5.286929,0.077999,7.626790
strong,8,100,0.065277,2.003886,4.691827,0.069074,6.869771
strong,9,100,0.060372,1.832780,4.356276,0.061888,6.347861
strong,10,100,0.053431,1.762299,4.104565,0.056537,6.009916
