scaling,threads,buckets,fill_time,partition_time,sort_time,merge_time,total_time
weak,1,100000,0.510594,3.185835,179.051818,0.335676,183.110721
weak,2,200000,0.507900,4.386052,177.298119,0.344523,182.598065
weak,3,300000,0.510678,5.873358,177.051655,0.345649,183.864010
weak,4,400000,0.514132,6.987543,182.090317,0.345265,190.036043
weak,5,500000,0.514202,8.175869,211.350736,0.346243,220.492654
weak,6,600000,0.513431,9.509903,172.016787,0.371520,182.553952
weak,7,700000,0.514281,11.060602,277.387765,0.350968,289.477010
weak,8,800000,0.519356,12.110919,201.740126,0.350332,214.890227
weak,9,900000,0.535778,13.622779,172.799531,0.351505,187.514531
weak,10,1000000,0.563098,14.276808,319.191670,0.352840,334.590850
weak,1,1000000,0.509863,10.992054,28.421994,0.500424,40.718145
weak,2,2000000,0.511125,13.989492,83.239734,0.517937,98.586732
weak,3,3000000,0.511404,14.603417,382.015859,0.541620,398.014499
weak,4,4000000,0.512248,16.536102,1272.800180,0.532370,1290.693001
weak,5,5000000,0.513992,17.562657,1016.990369,0.534642,1035.928627
weak,6,6000000,0.514561,19.385416,7020.115835,0.490263,7040.790830
strong,1,1000000,0.509725,9.396552,28.447754,0.535746,39.190623
strong,2,1000000,0.255146,6.066612,14.924868,0.272918,21.669097
strong,3,1000000,0.171410,3.779486,10.397899,0.182614,14.629948
strong,4,1000000,0.129429,2.900595,8.218306,0.137455,11.460367
strong,5,1000000,0.104295,2.485627,6.840871,0.109981,9.600940
strong,6,1000000,0.086600,2.205926,5.916303,0.092297,8.351797
strong,7,1000000,0.074622,1.960991,5.247719,0.079959,7.406631
strong,8,1000000,0.065017,1.845725,4.749748,0.069998,6.768330
strong,9,1000000,0.058436,1.727247,4.415598,0.062867,6.298705
strong,10,1000000,0.053307,1.651623,4.070087,0.056847,5.867649
strong,1,10000000,0.510747,17.438138,364.601555,1.455889,385.971839
strong,2,10000000,0.258542,9.813197,363.742750,0.699252,376.429246
strong,3,10000000,0.171737,6.855200,361.523381,0.455924,369.716428
strong,4,10000000,0.128850,5.550194,359.032668,0.341002,366.035670
strong,5,10000000,0.103165,4.626299,362.683785,0.271081,368.441149
strong,6,10000000,0.086536,4.154123,359.084416,0.228572,363.924281
strong,7,10000000,0.074815,3.721846,359.818052,0.194538,364.125819
strong,8,10000000,0.065514,3.456957,358.134377,0.170059,362.105013
strong,9,10000000,0.058889,3.262769,359.397373,0.154150,363.284842
strong,10,10000000,0.052999,3.036352,360.869649,0.148184,364.343237
