Size,Bandwidth,Delay
1.000000,0.197183,0.038692
2.000000,0.477497,
4.000000,1.053262,
8.000000,2.148617,
16.000000,4.375558,
32.000000,8.603669,
64.000000,17.199887,
128.000000,32.321136,
256.000000,64.794739,
512.000000,126.080390,
1024.000000,195.603842,
2048.000000,362.184809,
4096.000000,707.181618,
8192.000000,1289.251095,
16384.000000,2176.363970,
32768.000000,3906.420112,
65536.000000,5560.545898,
131072.000000,5114.020801,
262144.000000,7334.918150,
524288.000000,9290.228580,
1048576.000000,7099.975226,
2097152.000000,3022.211996,
4194304.000000,2958.895389,
8388608.000000,3050.481173,
16777216.000000,2737.784859,
33554432.000000,2717.928247,
67108864.000000,2804.281687,
134217728.000000,5245.405389,
