threads,problem_size,scaling,repeat,time
1,100000,weak,1,0.003277
1,100000,strong,1,0.003295
2,100000,weak,1,0.003531
2,100000,strong,1,0.001667
3,100000,weak,1,0.003281
3,100000,strong,1,0.001125
4,100000,weak,1,0.004322
4,100000,strong,1,0.001045
5,100000,weak,1,0.003319
5,100000,strong,1,0.000708
6,100000,weak,1,0.003356
6,100000,strong,1,0.000592
7,100000,weak,1,0.003331
7,100000,strong,1,0.000508
8,100000,weak,1,0.003312
8,100000,strong,1,0.000446
9,100000,weak,1,0.003296
9,100000,strong,1,0.000402
10,100000,weak,1,0.003284
10,100000,strong,1,0.000376
11,100000,weak,1,0.003292
11,100000,strong,1,0.000343
12,100000,weak,1,0.003292
12,100000,strong,1,0.000397
1,100000,weak,2,0.003270
1,100000,strong,2,0.003286
2,100000,weak,2,0.003329
2,100000,strong,2,0.001669
3,100000,weak,2,0.003285
3,100000,strong,2,0.001252
4,100000,weak,2,0.004311
4,100000,strong,2,0.001135
5,100000,weak,2,0.003288
5,100000,strong,2,0.000701
6,100000,weak,2,0.003310
6,100000,strong,2,0.000659
7,100000,weak,2,0.003311
7,100000,strong,2,0.000505
8,100000,weak,2,0.003433
8,100000,strong,2,0.000452
9,100000,weak,2,0.003303
9,100000,strong,2,0.000399
10,100000,strong,2,0.000382
10,100000,weak,2,0.003279
11,100000,strong,2,0.000336
11,100000,weak,2,0.003294
12,100000,strong,2,0.000323
12,100000,weak,2,0.003304
1,100000,strong,3,0.003291
1,100000,weak,3,0.003274
2,100000,strong,3,0.001985
2,100000,weak,3,0.003281
3,100000,strong,3,0.001150
3,100000,weak,3,0.003723
4,100000,weak,3,0.004622
4,100000,strong,3,0.001298
5,100000,weak,3,0.003293
5,100000,strong,3,0.000692
6,100000,strong,3,0.000583
6,100000,weak,3,0.003356
7,100000,weak,3,0.003405
7,100000,strong,3,0.000516
8,100000,strong,3,0.000461
8,100000,weak,3,0.003421
9,100000,strong,3,0.000421
9,100000,weak,3,0.003294
10,100000,strong,3,0.000371
10,100000,weak,3,0.003290
11,100000,strong,3,0.000343
11,100000,weak,3,0.003395
12,100000,strong,3,0.000327
12,100000,weak,3,0.003289
1,100000,strong,4,0.003283
1,100000,weak,4,0.003290
2,100000,strong,4,0.001723
2,100000,weak,4,0.003276
3,100000,strong,4,0.001320
3,100000,weak,4,0.003564
4,100000,strong,4,0.001292
4,100000,weak,4,0.003292
5,100000,strong,4,0.000757
5,100000,weak,4,0.003454
6,100000,strong,4,0.000597
6,100000,weak,4,0.003354
7,100000,strong,4,0.000505
7,100000,weak,4,0.003328
8,100000,strong,4,0.000448
8,100000,weak,4,0.003305
9,100000,strong,4,0.000401
9,100000,weak,4,0.003297
10,100000,strong,4,0.000363
10,100000,weak,4,0.003290
11,100000,strong,4,0.000340
11,100000,weak,4,0.003293
12,100000,strong,4,0.000350
12,100000,weak,4,0.003320
1,100000,strong,5,0.003278
1,100000,weak,5,0.003274
2,100000,strong,5,0.001722
2,100000,weak,5,0.003533
3,100000,strong,5,0.001129
3,100000,weak,5,0.003522
4,100000,strong,5,0.000857
4,100000,weak,5,0.003507
5,100000,strong,5,0.000694
5,100000,weak,5,0.003322
6,100000,strong,5,0.000594
6,100000,weak,5,0.003323
