Size,Bandwidth,Delay
1.000000,4.895184,0.001559
2.000000,11.031170,
4.000000,28.257148,
8.000000,59.856228,
16.000000,120.008683,
32.000000,227.205204,
64.000000,467.435497,
128.000000,822.394738,
256.000000,1690.512358,
512.000000,3326.058932,
1024.000000,5732.220030,
2048.000000,10931.014632,
4096.000000,15965.577707,
8192.000000,22818.088721,
16384.000000,26743.928806,
32768.000000,33930.206379,
65536.000000,49083.334374,
131072.000000,63511.084556,
262144.000000,70053.422740,
524288.000000,57021.013013,
1048576.000000,41221.078615,
2097152.000000,39061.149453,
4194304.000000,37522.994516,
8388608.000000,25216.814675,
16777216.000000,21233.439351,
33554432.000000,19815.208760,
67108864.000000,19462.814375,
134217728.000000,19685.235549,
