threads,problem_size,scaling,repeat,time
1,1000,strong,1,0.000053
1,1000,weak,1,0.000053
2,1000,strong,1,0.000096
2,1000,weak,1,0.008126
3,1000,strong,1,0.000046
3,1000,weak,1,0.000069
4,1000,strong,1,0.000287
4,1000,weak,1,0.008306
5,1000,strong,1,0.000040
5,1000,weak,1,0.000077
6,1000,strong,1,0.000041
6,1000,weak,1,0.000081
7,1000,strong,1,0.000060
7,1000,weak,1,0.000079
8,1000,strong,1,0.000044
8,1000,weak,1,0.000067
9,1000,strong,1,0.000048
9,1000,weak,1,0.000071
10,1000,strong,1,0.000045
10,1000,weak,1,0.000068
11,1000,strong,1,0.008114
11,1000,weak,1,0.000073
12,1000,strong,1,0.000056
12,1000,weak,1,0.000079
1,1000,strong,2,0.000061
1,1000,weak,2,0.000053
2,1000,strong,2,0.008077
2,1000,weak,2,0.005443
3,1000,strong,2,0.007179
3,1000,weak,2,0.000303
4,1000,strong,2,0.008235
4,1000,weak,2,0.000111
5,1000,strong,2,0.000050
5,1000,weak,2,0.000071
6,1000,strong,2,0.000047
6,1000,weak,2,0.000081
7,1000,strong,2,0.000056
7,1000,weak,2,0.000094
8,1000,strong,2,0.000048
8,1000,weak,2,0.000075
9,1000,strong,2,0.000055
9,1000,weak,2,0.000067
10,1000,strong,2,0.000062
10,1000,weak,2,0.000073
11,1000,strong,2,0.000064
11,1000,weak,2,0.000072
12,1000,strong,2,0.000065
12,1000,weak,2,0.000079
1,1000,strong,3,0.000063
1,1000,weak,3,0.000051
2,1000,strong,3,0.000084
2,1000,weak,3,0.000067
3,1000,strong,3,0.000048
3,1000,weak,3,0.000380
4,1000,strong,3,0.000349
4,1000,weak,3,0.000141
5,1000,strong,3,0.000047
5,1000,weak,3,0.000078
6,1000,strong,3,0.000082
6,1000,weak,3,0.000075
7,1000,strong,3,0.000055
7,1000,weak,3,0.000076
8,1000,strong,3,0.000047
8,1000,weak,3,0.000068
9,1000,strong,3,0.000048
9,1000,weak,3,0.000068
10,1000,strong,3,0.000079
10,1000,weak,3,0.000072
11,1000,strong,3,0.000056
11,1000,weak,3,0.000071
12,1000,strong,3,0.000060
12,1000,weak,3,0.000082
1,1000,strong,4,0.000056
1,1000,weak,4,0.000051
2,1000,strong,4,0.007685
2,1000,weak,4,0.000075
3,1000,strong,4,0.000045
3,1000,weak,4,0.008040
4,1000,strong,4,0.000751
4,1000,weak,4,0.000517
5,1000,strong,4,0.000062
5,1000,weak,4,0.000080
6,1000,strong,4,0.000049
6,1000,weak,4,0.000079
7,1000,strong,4,0.000046
7,1000,weak,4,0.000082
8,1000,strong,4,0.000051
8,1000,weak,4,0.000072
9,1000,strong,4,0.000047
9,1000,weak,4,0.000065
10,1000,strong,4,0.000056
10,1000,weak,4,0.000069
11,1000,strong,4,0.000058
11,1000,weak,4,0.000072
12,1000,strong,4,0.000066
12,1000,weak,4,0.000083
1,1000,strong,5,0.000061
1,1000,weak,5,0.000051
2,1000,strong,5,0.000052
2,1000,weak,5,0.000907
3,1000,strong,5,0.000047
3,1000,weak,5,0.000068
4,1000,strong,5,0.008177
4,1000,weak,5,0.000064
5,1000,strong,5,0.000057
5,1000,weak,5,0.000080
6,1000,strong,5,0.000111
6,1000,weak,5,0.000085
7,1000,strong,5,0.000091
7,1000,weak,5,0.000081
8,1000,strong,5,0.000054
8,1000,weak,5,0.000075
9,1000,strong,5,0.000050
9,1000,weak,5,0.000076
10,1000,strong,5,0.000061
10,1000,weak,5,0.000070
11,1000,strong,5,0.000050
11,1000,weak,5,0.000075
12,1000,strong,5,0.000054
12,1000,weak,5,0.000074
1,1000,strong,6,0.000057
1,1000,weak,6,0.000054
2,1000,strong,6,0.000581
2,1000,weak,6,0.005388
3,1000,strong,6,0.000041
3,1000,weak,6,0.007809
4,1000,strong,6,0.004650
4,1000,weak,6,0.008301
5,1000,strong,6,0.000047
5,1000,weak,6,0.000075
6,1000,strong,6,0.000052
6,1000,weak,6,0.000083
7,1000,strong,6,0.000052
7,1000,weak,6,0.000073
8,1000,strong,6,0.000046
8,1000,weak,6,0.000070
9,1000,strong,6,0.000047
9,1000,weak,6,0.000071
10,1000,strong,6,0.000045
10,1000,weak,6,0.000068
11,1000,strong,6,0.000066
11,1000,weak,6,0.000069
12,1000,strong,6,0.000060
12,1000,weak,6,0.000083
1,1000,strong,7,0.000055
1,1000,weak,7,0.000053
2,1000,strong,7,0.000076
2,1000,weak,7,0.000062
3,1000,strong,7,0.000063
3,1000,weak,7,0.004888
4,1000,strong,7,0.000256
4,1000,weak,7,0.000238
5,1000,strong,7,0.000091
5,1000,weak,7,0.000075
6,1000,strong,7,0.000058
6,1000,weak,7,0.000087
7,1000,strong,7,0.000052
7,1000,weak,7,0.000076
8,1000,strong,7,0.000047
8,1000,weak,7,0.000067
9,1000,strong,7,0.000055
