threads,problem_size,scaling,repeat,time
1,10000,strong,1,0.000343
1,10000,weak,1,0.000354
2,10000,strong,1,0.000437
2,10000,weak,1,0.000381
3,10000,strong,1,0.007927
3,10000,weak,1,0.000414
4,10000,strong,1,0.000574
4,10000,weak,1,0.000397
5,10000,strong,1,0.000115
5,10000,weak,1,0.000376
6,10000,strong,1,0.000104
6,10000,weak,1,0.000403
7,10000,strong,1,0.000102
7,10000,weak,1,0.000407
8,10000,strong,1,0.000076
8,10000,weak,1,0.000439
9,10000,strong,1,0.000075
9,10000,weak,1,0.000386
10,10000,strong,1,0.000080
10,10000,weak,1,0.000390
11,10000,strong,1,0.000068
11,10000,weak,1,0.000381
12,10000,strong,1,0.000075
12,10000,weak,1,0.000378
1,10000,strong,2,0.000345
1,10000,weak,2,0.000350
2,10000,strong,2,0.000431
2,10000,weak,2,0.008137
3,10000,strong,2,0.000144
3,10000,weak,2,0.000537
4,10000,strong,2,0.000588
4,10000,weak,2,0.000374
5,10000,strong,2,0.000123
5,10000,weak,2,0.000373
6,10000,strong,2,0.000098
6,10000,weak,2,0.000385
7,10000,strong,2,0.000096
7,10000,weak,2,0.000383
8,10000,strong,2,0.000081
8,10000,weak,2,0.000359
9,10000,strong,2,0.000073
9,10000,weak,2,0.000377
10,10000,strong,2,0.000073
10,10000,weak,2,0.000388
11,10000,strong,2,0.000070
11,10000,weak,2,0.000373
12,10000,strong,2,0.000070
12,10000,weak,2,0.000383
1,10000,strong,3,0.000341
1,10000,weak,3,0.000357
2,10000,strong,3,0.000192
2,10000,weak,3,0.000390
3,10000,strong,3,0.001808
3,10000,weak,3,0.000364
4,10000,strong,3,0.008552
4,10000,weak,3,0.000878
5,10000,strong,3,0.000119
5,10000,weak,3,0.000388
6,10000,strong,3,0.000111
6,10000,weak,3,0.000385
7,10000,strong,3,0.000095
7,10000,weak,3,0.000390
8,10000,strong,3,0.000081
8,10000,weak,3,0.000442
9,10000,strong,3,0.000075
9,10000,weak,3,0.000384
10,10000,strong,3,0.000083
10,10000,weak,3,0.000394
11,10000,strong,3,0.000084
11,10000,weak,3,0.000400
12,10000,strong,3,0.000069
12,10000,weak,3,0.000440
1,10000,strong,4,0.000344
1,10000,weak,4,0.000354
2,10000,strong,4,0.000215
2,10000,weak,4,0.002186
3,10000,strong,4,0.000155
3,10000,weak,4,0.000369
4,10000,strong,4,0.000118
4,10000,weak,4,0.000632
5,10000,strong,4,0.000120
5,10000,weak,4,0.000372
6,10000,strong,4,0.000101
6,10000,weak,4,0.000378
7,10000,strong,4,0.000094
7,10000,weak,4,0.000376
8,10000,strong,4,0.000075
8,10000,weak,4,0.000363
9,10000,strong,4,0.000074
9,10000,weak,4,0.000369
10,10000,strong,4,0.000066
10,10000,weak,4,0.000370
11,10000,strong,4,0.000091
11,10000,weak,4,0.000371
12,10000,strong,4,0.000070
12,10000,weak,4,0.000400
1,10000,strong,5,0.000341
1,10000,weak,5,0.000348
2,10000,strong,5,0.000443
2,10000,weak,5,0.000370
3,10000,strong,5,0.000142
3,10000,weak,5,0.008518
4,10000,strong,5,0.002482
4,10000,weak,5,0.000799
5,10000,strong,5,0.000117
5,10000,weak,5,0.000380
6,10000,strong,5,0.000102
6,10000,weak,5,0.000382
7,10000,strong,5,0.000094
7,10000,weak,5,0.000396
8,10000,strong,5,0.000080
8,10000,weak,5,0.000377
9,10000,strong,5,0.000074
9,10000,weak,5,0.000381
10,10000,strong,5,0.000073
10,10000,weak,5,0.000380
11,10000,strong,5,0.000069
11,10000,weak,5,0.000417
12,10000,strong,5,0.000067
12,10000,weak,5,0.000390
1,10000,strong,6,0.000346
1,10000,weak,6,0.000347
2,10000,strong,6,0.000448
2,10000,weak,6,0.000713
3,10000,strong,6,0.000148
3,10000,weak,6,0.000396
4,10000,strong,6,0.002662
4,10000,weak,6,0.000431
5,10000,strong,6,0.000117
5,10000,weak,6,0.000391
6,10000,strong,6,0.000101
6,10000,weak,6,0.000387
7,10000,strong,6,0.000093
7,10000,weak,6,0.000379
8,10000,strong,6,0.000080
8,10000,weak,6,0.000366
9,10000,strong,6,0.000071
9,10000,weak,6,0.000372
10,10000,strong,6,0.000068
10,10000,weak,6,0.000366
11,10000,strong,6,0.000079
11,10000,weak,6,0.000400
12,10000,strong,6,0.000084
12,10000,weak,6,0.000383
1,10000,strong,7,0.000343
1,10000,weak,7,0.000352
2,10000,strong,7,0.000202
2,10000,weak,7,0.005696
3,10000,strong,7,0.007897
3,10000,weak,7,0.002785
4,10000,strong,7,0.000132
4,10000,weak,7,0.008436
5,10000,strong,7,0.000113
5,10000,weak,7,0.000382
6,10000,strong,7,0.000099
6,10000,weak,7,0.000375
7,10000,strong,7,0.000097
7,10000,weak,7,0.000444
8,10000,strong,7,0.000078
8,10000,weak,7,0.000374
9,10000,strong,7,0.000075
9,10000,weak,7,0.000390
10,10000,strong,7,0.000071
10,10000,weak,7,0.000375
11,10000,strong,7,0.000079
11,10000,weak,7,0.000385
12,10000,strong,7,0.000074
12,10000,weak,7,0.000389
1,10000,strong,8,0.000346
1,10000,weak,8,0.000347
2,10000,strong,8,0.008921
2,10000,weak,8,0.000385
3,10000,strong,8,0.000146
3,10000,weak,8,0.008413
4,10000,strong,8,0.008148
4,10000,weak,8,0.000395
5,10000,strong,8,0.000109
5,10000,weak,8,0.000448
6,10000,strong,8,0.000102
6,10000,weak,8,0.000401
7,10000,strong,8,0.000138
7,10000,weak,8,0.000390
8,10000,strong,8,0.000085
8,10000,weak,8,0.000358
9,10000,strong,8,0.000070
9,10000,weak,8,0.000375
10,10000,strong,8,0.000084
10,10000,weak,8,0.000370
11,10000,strong,8,0.000073
11,10000,weak,8,0.000410
12,10000,strong,8,0.000079
12,10000,weak,8,0.000420
1,10000,strong,9,0.000342
1,10000,weak,9,0.000358
2,10000,strong,9,0.000695
2,10000,weak,9,0.000402
3,10000,strong,9,0.000145
3,10000,weak,9,0.000396
4,10000,strong,9,0.000791
4,10000,weak,9,0.001120
5,10000,strong,9,0.000114
5,10000,weak,9,0.000387
6,10000,strong,9,0.000105
6,10000,weak,9,0.000428
7,10000,strong,9,0.000092
7,10000,weak,9,0.000426
8,10000,strong,9,0.000078
8,10000,weak,9,0.000380
9,10000,strong,9,0.000075
9,10000,weak,9,0.000398
10,10000,strong,9,0.000075
10,10000,weak,9,0.000375
11,10000,strong,9,0.000073
11,10000,weak,9,0.000389
12,10000,strong,9,0.000075
12,10000,weak,9,0.000397
1,10000,strong,10,0.000350
1,10000,weak,10,0.000358
2,10000,strong,10,0.000197
2,10000,weak,10,0.000386
3,10000,strong,10,0.000152
3,10000,weak,10,0.008408
4,10000,strong,10,0.000120
4,10000,weak,10,0.008694
5,10000,strong,10,0.000113
5,10000,weak,10,0.000457
6,10000,strong,10,0.000110
6,10000,weak,10,0.000387
7,10000,strong,10,0.000091
7,10000,weak,10,0.000392
8,10000,strong,10,0.000078
8,10000,weak,10,0.000375
9,10000,strong,10,0.000077
9,10000,weak,10,0.000379
10,10000,strong,10,0.000071
10,10000,weak,10,0.000373
11,10000,strong,10,0.000068
11,10000,weak,10,0.000371
12,10000,strong,10,0.000072
12,10000,weak,10,0.000395
1,1000000,strong,1,0.033303
1,1000000,weak,1,0.032840
2,1000000,strong,1,0.016516
2,1000000,weak,1,0.033056
3,1000000,strong,1,0.011188
3,1000000,weak,1,0.032650
4,1000000,strong,1,0.016193
4,1000000,weak,1,0.032956
5,1000000,strong,1,0.006595
5,1000000,weak,1,0.032828
6,1000000,strong,1,0.005526
6,1000000,weak,1,0.032821
7,1000000,strong,1,0.004724
7,1000000,weak,1,0.032784
8,1000000,strong,1,0.004112
8,1000000,weak,1,0.032774
9,1000000,strong,1,0.003651
10,1000000,strong,1,0.003296
9,1000000,weak,1,0.032700
11,1000000,strong,1,0.002992
10,1000000,weak,1,0.032798
12,1000000,strong,1,0.002831
11,1000000,weak,1,0.032755
1,1000000,strong,2,0.032635
12,1000000,weak,1,0.033902
2,1000000,strong,2,0.023926
1,1000000,weak,2,0.033065
