Size,Bandwidth,Delay
1.000000,0.207586,0.036753
2.000000,0.452949,
4.000000,1.020549,
8.000000,2.171581,
16.000000,4.373196,
32.000000,8.308666,
64.000000,16.858737,
128.000000,34.399870,
256.000000,68.705943,
512.000000,136.669636,
1024.000000,227.024562,
2048.000000,388.311315,
4096.000000,769.442311,
8192.000000,1380.507673,
16384.000000,2321.347948,
32768.000000,3995.993968,
65536.000000,5754.857658,
131072.000000,5725.891442,
262144.000000,8631.738615,
524288.000000,11476.449800,
1048576.000000,13035.013408,
2097152.000000,14752.160368,
4194304.000000,15454.427201,
8388608.000000,15869.812599,
16777216.000000,15614.162854,
33554432.000000,12403.248283,
