schedule,chunk,size,threads,avg_time
static,1,1000000,1,0.004543
static,1,100000000,1,0.507487
static,100,1000000,1,0.004483
static,100,100000000,1,0.506466
dynamic,1,1000000,1,0.012386
dynamic,1,100000000,1,1.305584
dynamic,100,1000000,1,0.004502
dynamic,100,100000000,1,0.515052
guided,1,1000000,1,0.004429
guided,1,100000000,1,0.505719
guided,100,1000000,1,0.004415
guided,100,100000000,1,0.505505
static,1,1000000,2,0.009284
static,1,100000000,2,0.948792
static,100,1000000,2,0.002363
static,100,100000000,2,0.272292
dynamic,1,1000000,2,0.054006
dynamic,1,100000000,2,5.340132
dynamic,100,1000000,2,0.002720
dynamic,100,100000000,2,0.313702
guided,1,1000000,2,0.002210
guided,1,100000000,2,0.251898
guided,100,1000000,2,0.002214
guided,100,100000000,2,0.253416
static,1,1000000,3,0.006269
static,1,100000000,3,0.635899
static,100,1000000,3,0.001629
static,100,100000000,3,0.186103
dynamic,1,1000000,3,0.057588
dynamic,1,100000000,3,5.756644
dynamic,100,1000000,3,0.001922
dynamic,100,100000000,3,0.230296
guided,1,1000000,3,0.001469
guided,1,100000000,3,0.168201
guided,100,1000000,3,0.001472
guided,100,100000000,3,0.168191
static,1,1000000,4,0.004761
static,1,100000000,4,0.486174
static,100,1000000,4,0.001179
static,100,100000000,4,0.149430
dynamic,1,1000000,4,0.057561
dynamic,1,100000000,4,5.763233
dynamic,100,1000000,4,0.001497
dynamic,100,100000000,4,0.187926
guided,1,1000000,4,0.001110
guided,1,100000000,4,0.126576
guided,100,1000000,4,0.001104
guided,100,100000000,4,0.126541
